,ad_id,count,id,title,created_at,image,campaign_id,campaign_title,advertiser_id,advertiser_name,viewed,clicked
4526,291693,999,291693,(یک میلیون تومان) تخفیف بر کاشت ابرو طبیعی,2021-05-02 09:26:44.364496+04:30,https://native.yektanet.com/static/media/upload/items/image__1cbY0hczcu.jpeg,106728,Abrou_N_segment_all,19890,drjalalianclinic.ir,1315513,999
4527,287235,999,287235,آموزش پیاده‌سازی تفکر استراتژیک در سازمان,2021-04-23 21:52:38.521866+04:30,https://native.yektanet.com/static/media/upload/items/image__1c9SZ9vqqE.jpeg,105197,تفکر-موبایل-رفتار,31832,metody.ir,2420056,999
4528,246813,999,246813,موهات کم پشتن!؟ خب تا عید فطر مو بکار ، تخفیف 40 درصدی هم بگیر !!,2021-02-07 08:13:08.415061+03:30,https://native.yektanet.com/static/media/upload/items/image__1bRm5i9SYq.jpeg,90013,کلیدواژه-مو-موبایل,31337,afshanmoo.ir,5453570,7515
4529,295599,998,295599,تریلر Stranger Things 4,2021-05-08 15:46:36.095067+04:30,https://native.yektanet.com/static/media/upload/items/ngs-4_1cdvhQ4FVq.jpg,90606,cinema-native,2200,sargarme.com,1715355,1009
4532,273605,997,273605,بازیک رو نصب کن و کلی بازی جذاب رو گوشیت داشته باش!!,2021-03-19 19:44:19.807904+03:30,https://native.yektanet.com/static/media/upload/items/image__1c1hS6e1Uq.jpeg,99687,Native-Bazik-Noruz,4254,irancell.ir,5929760,2052
4530,298555,997,298555,آموزش گام به گام کسب درآمد از اپوکسی! همین الان شروع کن,2021-05-11 16:47:46.173627+04:30,https://native.yektanet.com/static/media/upload/items/image__1cefzbTwKm.jpeg,109250,آموزش میز,36747,instagram.com,3668749,1020
4531,277567,997,277567,"حالا خودت ارز دیجیتال استخراج کن!
خرید دستگاه ماینر اتریوم",2021-04-05 18:57:08.381319+04:30,https://native.yektanet.com/static/media/upload/items/image__1c5rkvxhMC.jpeg,101303,تبلیغات همسان ایران ماینر,34136,iran-miner.com,387342,1036
4533,207584,996,207584,دراین روزهای کرونایی باپیام همدلی محک درکنارعزیزانت باش,2020-11-15 13:43:11.057183+03:30,https://native.yektanet.com/static/media/upload/items/image__1bwNRQ2cV8.jpeg,73552,پیام همدلی - ریتارگتینگ - همه مخاطبان,17860,mahak-charity.org,1604888,1006
4534,299259,996,299259,۵۰٪ تخفیف رویایی!!! خرید انواع عطر و ادکلن (اصل),2021-05-12 14:28:42.096807+04:30,https://native.yektanet.com/static/media/upload/items/image__1cetiPbA2g.jpeg,85070,Native_Mobile_Android,4425,rojashop.com,2253106,1022
4535,300741,995,300741,کاشت ابرو با طرح دلخواه شما! (تخفیف استثنایی),2021-05-16 09:51:49.507236+04:30,https://native.yektanet.com/static/media/upload/items/image__1cfpdVqnyS.jpeg,106732,Abrou_N_keyword_all,19890,drjalalianclinic.ir,538674,1041
4536,291475,995,291475,مرکز ایمپلنت و جراحی تهران | قیمت ارزان | ایمپلنت گرید A,2021-05-01 17:53:38.843404+04:30,https://native.yektanet.com/static/media/upload/items/image__1cbO6GTzdy.jpeg,105385,ایمپلنت B,28831,berimdoctor.com,1274029,1046
4537,303128,995,303128,بین بازی هایی که رو گوشیت نصبه کدومو بیشتر انجام میدی؟,2021-05-19 13:48:56.434163+04:30,https://native.yektanet.com/static/media/upload/items/image__1cgbfRCLlq.jpeg,111027,native-student-M-Q4,26441,cafebazaar.ir,415633,995
4538,298242,995,298242,عمل زیبایی مخصوص بانوان، بدون درد بالیزر در 30دقیقه,2021-05-11 14:05:02.485454+04:30,https://native.yektanet.com/static/media/upload/items/image__1cedQCf8EO.jpeg,96336,C - جراحی زنان,28831,berimdoctor.com,843018,1025
4539,275042,995,275042,جشن مجازی ⭐میلاد امام زمان(عج)⭐ همراه با مسابقه و 🎁هدایای نقدی و ویژه,2021-03-28 15:43:58.705590+04:30,https://native.yektanet.com/static/media/upload/items/image__1c3rBfbv54.jpeg,89716,مقطعی,18969,rizkala.com,929265,1035
4542,287425,994,287425,با یک بار مراجعه دندان های خود را پروتز کنید! (با بهترین دندانپزشکان),2021-04-24 12:20:04.321870+04:30,https://native.yektanet.com/static/media/upload/items/image__1ca29fBluc.jpeg,101493,native-Tehran,31626,pezeshkadeh.com,2034176,1037
4541,237495,994,237495,ترجمه تخصصی و دانشجویی ارزان- دارالترجمه پارسیس,2021-01-19 23:26:58.741941+03:30,https://native.yektanet.com/static/media/upload/items/image__1bMQLkC9xK.jpeg,85737,کمپین موضوعی,11969,parsistrans.com,4666044,4063
4540,248126,994,248126,آموزش برنامه نویس پی اچ پی 15ویدیو رایگان,2021-02-08 16:04:10.616527+03:30,https://native.yektanet.com/static/media/upload/items/image__1bRGcZc99m.jpeg,90541,افزایش بازدید موبایل,6988,academyit.net,9856195,3937
4543,289533,993,289533,گوشت و مرغ را سریع و تازه تحویل بگیرید.,2021-04-27 17:08:23.240684+04:30,https://native.yektanet.com/static/media/upload/items/image__1caOPmMpAw.jpeg,105780,protein1400.02.06,619,modisehshop,2429276,1044
4544,278531,993,278531,7 نکته برای تمیز کردن فرش در خانه,2021-04-07 00:13:40.647119+04:30,https://native.yektanet.com/static/media/upload/items/ntent20File206232220Image_1c5JSRZhVm.jpeg,26394,جایگاه خبری انتخاب,7170,triboon.co,4150774,1006
4545,274055,992,274055,هم تماشای رایگان فیلم و سریال هم جایزه به ۱۳۰ نفر!,2021-03-22 21:12:32.743407+04:30,https://native.yektanet.com/static/media/upload/items/image__1c21KxRPVk.png,99904,Native-Noruz-Contx-Desktop,26441,cafebazaar.ir,4557286,1930
4546,259650,992,259650,کارگاه آموزش کاربردی پاورپوینت در 4 جلسه ✅,2021-02-26 19:35:45.574682+03:30,https://native.yektanet.com/static/media/upload/items/image__1bW8luVIp8.jpeg,94742,دوره اینفوگرافیک و پرزنتیشن پاورپوینت عادی,9001,infogramer.ir,3803243,1124
4547,291133,992,291133,15 درصد تخفیف ویژه روغن کنجد | فروشگاه اینترنتی دیجی کالا,2021-05-01 13:44:31.999856+04:30,https://native.yektanet.com/static/media/upload/items/image__1cbLweDw88.png,106761,کمپین همسان عادی ترنگ,25703,torangco.ir,478331,1036
4548,240558,992,240558,با تلفن ثابت ابری، از هر کجا به خط خود متصل شوید!,2021-01-25 11:51:03.886790+03:30,https://native.yektanet.com/static/media/upload/items/image__1bX4ntXN3s.png,87384,هدفمند موضوعی,10780,avvaloffice.ir,3342016,1507
4549,187269,991,187269,خرید آنلاین لباس های باشگاهی و ملی در نیلی مارکت,2020-09-12 11:10:43.759908+04:30,https://native.yektanet.com/static/media/upload/items/image__1bh3XJ34oK.jpeg,63763,native-keyword-desktop&mobile,20020,nilimarket.com,3879157,3640
